epoch,max_norm,step,train_reg_loss,val_reg_loss
0,,5,,0.4356532692909241
0,0.0,5,3.3087403774261475,
1,,11,,0.5590776801109314
1,0.0,11,1.8471436500549316,
2,,17,,0.2094617635011673
2,0.0,17,1.7898976802825928,
3,,23,,0.19401432573795319
3,0.0,23,1.4606794118881226,
4,,29,,0.23076263070106506
4,0.0,29,1.4845516681671143,
5,,35,,0.20519371330738068
5,0.0,35,1.42522394657135,
6,,41,,0.1802605241537094
6,0.0,41,1.439851999282837,
7,,47,,0.2091304212808609
7,0.0,47,1.3959511518478394,
8,,53,,0.18211033940315247
8,0.0,53,1.3958364725112915,
9,,59,,0.1739392727613449
9,0.0,59,1.4069654941558838,
10,,65,,0.26687172055244446
10,0.0,65,1.4248135089874268,
11,,71,,0.17036189138889313
11,0.0,71,1.486543893814087,
12,,77,,0.24547040462493896
12,0.0,77,1.4567638635635376,
13,,83,,0.17451725900173187
13,0.0,83,1.406091332435608,
14,,89,,0.20736932754516602
14,0.0,89,1.4263514280319214,
15,,95,,0.19860300421714783
15,0.0,95,1.3880563974380493,
16,,101,,0.17671158909797668
16,0.0,101,1.445084810256958,
17,,107,,0.22490239143371582
17,0.0,107,1.412607192993164,
18,,113,,0.18261310458183289
18,0.0,113,1.458360195159912,
19,,119,,0.22213183343410492
19,0.0,119,1.3547389507293701,
20,,125,,0.17750276625156403
20,0.0,125,1.3739697933197021,
21,,131,,0.20821931958198547
21,0.0,131,1.3930964469909668,
22,,137,,0.20054937899112701
22,0.0,137,1.3395917415618896,
23,,143,,0.18543969094753265
23,0.0,143,1.3811968564987183,
24,,149,,0.20996497571468353
24,0.0,149,1.3528350591659546,
25,,155,,0.1737758368253708
25,0.0,155,1.317487120628357,
26,,161,,0.201711043715477
26,0.0,161,1.4034802913665771,
27,,167,,0.18212556838989258
27,0.0,167,1.3783739805221558,
28,,173,,0.21068032085895538
28,0.0,173,1.419357180595398,
29,,179,,0.1765969693660736
29,0.0,179,1.320598840713501,
30,,185,,0.19626368582248688
30,0.0,185,1.3185631036758423,
31,,191,,0.177836611866951
31,0.0,191,1.3615705966949463,
32,,197,,0.20325982570648193
32,0.0,197,1.364701271057129,
33,,203,,0.19254706799983978
33,0.0,203,1.3013211488723755,
34,,209,,0.17617663741111755
34,0.0,209,1.3880276679992676,
35,,215,,0.22840474545955658
35,0.0,215,1.4061530828475952,
36,,221,,0.17197240889072418
36,0.0,221,1.3348571062088013,
37,,227,,0.18422619998455048
37,0.0,227,1.4219368696212769,
38,,233,,0.22039195895195007
38,0.0,233,1.3939307928085327,
39,,239,,0.16858911514282227
39,0.0,239,1.5700926780700684,
40,,245,,0.30776992440223694
40,0.0,245,1.5277050733566284,
41,,251,,0.19022643566131592
41,0.0,251,1.6554858684539795,
42,,257,,0.3469512164592743
42,0.0,257,1.5200674533843994,
43,,263,,0.16625156998634338
43,0.0,263,1.4013997316360474,
44,,269,,0.18922866880893707
44,0.0,269,1.423078179359436,
45,,275,,0.21454106271266937
